data,casos,obitos,internados,internados uti,casos diarios,obitos diarios,internados diarios,mortalidade,taxa de internados,taxa internados em uti
29,6748,155,639,311,381,1,0,0.0230,0.0947,0.4867
28,6367,154,639,305,17,1,0,0.0242,0.1004,0.4773
27,6350,153,639,301,52,4,52,0.0241,0.1006,0.4710
26,6298,149,587,288,73,10,28,0.0237,0.0932,0.4906
25,6225,139,559,281,268,5,21,0.0223,0.0898,0.5027
24,5957,134,538,272,396,4,32,0.0225,0.0903,0.5056
23,5561,130,506,260,98,13,26,0.0234,0.0910,0.5138
22,5463,117,480,247,188,3,0,0.0214,0.0879,0.5146
21,5275,114,480,247,240,3,33,0.0216,0.0910,0.5146
20,5035,111,447,233,135,4,35,0.0220,0.0888,0.5213
19,4900,107,412,218,391,7,28,0.0218,0.0841,0.5291
18,4509,100,384,200,117,1,26,0.0222,0.0852,0.5208
17,4392,99,358,193,453,0,19,0.0225,0.0815,0.5391
16,3939,99,339,185,487,0,12,0.0251,0.0861,0.5457
15,3452,99,327,164,199,11,127,0.0287,0.0947,0.5015
14,3253,88,200,124,24,0,0,0.0271,0.0615,0.6200
13,3229,88,200,124,11,2,0,0.0273,0.0619,0.6200
12,3218,86,200,124,196,1,3,0.0267,0.0622,0.6200
11,3022,85,197,122,39,0,2,0.0281,0.0652,0.6193
10,2983,85,195,120,61,3,0,0.0285,0.0654,0.6154
9,2922,82,195,120,298,3,0,0.0281,0.0667,0.6154
8,2624,79,195,120,28,1,0,0.0301,0.0743,0.6154
7,2596,78,195,120,24,0,0,0.0300,0.0751,0.6154
6,2572,78,195,120,12,2,1,0.0303,0.0758,0.6154
5,2560,76,194,119,150,1,2,0.0297,0.0758,0.6134
4,2410,75,192,117,176,1,2,0.0311,0.0797,0.6094
3,2234,74,190,116,59,2,2,0.0331,0.0850,0.6105
2,2175,72,188,114,198,9,0,0.0331,0.0864,0.6064
1,1977,63,188,114,30,3,0,0.0319,0.0951,0.6064
